a,a,a,a,a,b,b,b,b,b,a,b,a,a,b,b,a,a,b,b
y,y,x,x,y,y,x,x,y,x,x,x,x,x,x,y,y,y,y,y
2,5,1,4,3,4,2,3,1,5,3,4,2,5,1,5,1,4,3,2
a,a,a,a,a,b,b,b,b,b,b,b,a,b,a,a,b,a,a,b
x,y,x,y,y,y,x,x,y,x,y,y,y,y,y,x,x,x,x,x
3,2,1,5,4,1,4,2,3,5,4,5,3,2,1,2,1,5,4,3
b,b,b,b,b,a,a,a,a,a,a,a,b,a,b,a,b,b,a,b
x,y,x,y,x,y,x,x,y,y,x,x,x,x,x,y,y,y,y,y
4,1,5,2,3,3,2,1,4,5,5,4,2,3,1,2,5,3,1,4
b,b,b,b,b,a,a,a,a,a,b,a,b,a,a,b,a,b,a,b
y,x,y,y,x,y,x,y,x,x,y,y,y,y,y,x,x,x,x,x
3,2,5,4,1,1,4,2,5,3,2,5,1,3,4,4,1,3,2,5
b,a,b,b,a,a,a,b,b,a,a,a,a,a,a,b,b,b,b,b
x,x,x,x,x,y,y,y,y,y,x,y,y,x,x,x,y,y,x,y
2,3,1,4,5,4,1,5,3,2,1,5,3,2,4,3,2,4,5,1
a,a,b,a,b,b,a,b,a,b,b,b,b,b,b,a,a,a,a,a
x,x,x,x,x,y,y,y,y,y,y,x,x,y,x,y,y,x,y,x
5,4,3,1,2,1,3,5,2,4,2,5,4,3,1,4,1,2,5,3
b,b,a,b,a,a,b,a,a,b,a,a,a,a,a,b,b,b,b,b
y,y,y,y,y,x,x,x,x,x,x,y,y,x,y,y,x,y,x,x
3,1,5,2,4,2,4,1,3,5,4,2,3,5,1,5,3,4,1,2
b,a,a,b,a,b,b,a,a,b,b,b,b,b,b,a,a,a,a,a
y,y,y,y,y,x,x,x,x,x,y,x,x,y,y,x,y,x,x,y
5,4,1,3,2,1,2,3,5,4,4,3,5,2,1,2,5,4,1,3
