UnityTS,LabID,ParticipantID,TrialID,Room,Instruction,Duration,Question,Answer
63777771562108,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Howlongdoyouthinkyouhavebeenwaiting?,64s
63777771572351,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Whichofthesepicturesrepresentsyouremotionalstatebest?,3
63777771586324,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Whichofthesepicturesrepresentsyourexcitementbest?,4
63777771602208,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Howmuchdidyouthinkabout
yourPASTwhilewaiting?,1
63777771608597,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Howmuchdidyouthinkabout
yourPRESENTwhilewaiting?,1
63777771612316,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Howmuchdidyouthinkabout
yourFUTUREwhilewaiting?,100
63777771639828,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Howintensivelydidyouexperience
YOURBODYmostofthetime?,40
63777771651153,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Howintensivelydidyouexperience
THESURROUNDINGSPACEmostofthetime?,65
63777771665216,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Howoftendidyouthinkabouttime?,57
63777771673649,SGL,8,0,Version 8 - warmes Licht,sglSit,120,Howfastdidtimepassforyou?,35
